ft3_id,ft3_name,f3_id,f3_name,relationship,attack_id
FT001,Phishing for Information,T1598,Phishing for Information,equivalent,T1598
FT002,Search Victim-Owned Websites,,,unmapped,T1598
FT003,Seaching Credential Dumps,,,unmapped,
FT004,Gather Victim Org Information,,,unmapped,T1598
FT004.001,Gather Victim Org Information: Business Relationships,,,unmapped,T1598
FT004.002,Gather Victim Org Information: Determine Physical Locations ,,,unmapped,T1598
FT004.003,Gather Victim Org Information: Identify Business Tempo,,,unmapped,T1598
FT004.004,Gather Victim Org Information: Identify Roles,,,unmapped,T1598
FT005,Gather Victim Identity Information,,,unmapped,T1598
FT005.001,Gather Victim Identity Information: Credentials,,,unmapped,T1598
FT005.002,Gather Victim Identity Information: Email Addresses,,,unmapped,T1598
FT005.003,Gather Victim Identity Information: Employee Names,,,unmapped,T1598
FT006,Credential Scanning,,,unmapped,
FT006.001,Credential Scanning: Github,,,unmapped,
FT006.002,Credential Scanning: Websites,,,unmapped,
FT006.003,Credential Scanning: Telegram,,,unmapped,
FT007,Acquire Access,T1650,Acquire Access,equivalent,T1650
FT007.001,Acquire Access: Botnet,T1650,Acquire Access,derived,T1650
FT007.002,Acquire Access: DNS Server,T1650,Acquire Access,derived,T1650
FT007.003,Acquire Access: Malvertising,T1650,Acquire Access,derived,T1650
FT007.004,Acquire Access: Server,T1650,Acquire Access,derived,T1650
FT007.005,Acquire Access: VPS,T1650,Acquire Access,derived,T1650
FT007.006,Acquire Access: Virtual Private Network,T1650,Acquire Access,derived,T1650
FT007.007,Acquire Access: Virtual Private Server,T1650,Acquire Access,derived,T1650
FT007.008,Acquire Access: Cloud Accounts,T1650,Acquire Access,derived,T1650
FT007.009,Acquire Access: Email Accounts,T1650,Acquire Access,derived,T1650
FT007.010,Acquire Access: Social Media Accounts,T1650,Acquire Access,derived,T1650
FT008,Compromise Accounts,T1586,Compromise Accounts,equivalent,T1586
FT008.001,Compromise Accounts: Cloud Accounts,T1586.003,Compromise Accounts: Cloud Accounts,equivalent,T1586.003
FT008.002,Compromise Accounts: Email Accounts,T1586.002,Compromise Accounts: Email Accounts,equivalent,T1586.002
FT008.003,Compromise Accounts: Social Media Accounts,T1586.001,Compromise Accounts: Social Media Accounts,equivalent,T1586.001
FT009,Compromise Infrastructure,T1583,Acquire Infrastructure,subset,T1588
FT010,Establish Accounts,T1585,Establish Accounts,equivalent,T1598
FT010.001,Establish Accounts: Cloud Accounts,T1585,Establish Accounts,derived,T1608
FT010.002,Establish Accounts: Email Accounts,T1585,Establish Accounts,derived,T1598
FT010.003,Establish Accounts: Social Media Accounts,T1585,Establish Accounts,derived,T1585
FT010.004,Establish Accounts: Telegram Accounts,T1585,Establish Accounts,derived,T1585
FT011,Account Takeover,F1006,Account Takeover,equivalent,
FT011.001,Account Takeover: Exposed Credential,F1006,Account Takeover,derived,
FT011.002,Account Takeover: Exposed Login Credential,F1006.002,Account Takeover: Exposed Login Credential,equivalent,
FT011.003,Account Takeover: Exposed User Session/Token,F1006,Account Takeover,derived,
FT011.004,Account Takeover: Self Serve PII,F1006,Account Takeover,derived,
FT011.005,Account Takeover: Fake ID,F1006,Account Takeover,derived,
FT011.006,Account Takeover: Password Reset,F1006.003,Account Takeover: Password Reset,equivalent,
FT012,Cross-Site Scripting (XSS) Redirection for Financial Fraud,F1007.003,Adversary-in-the-Browser: Malicious JavaScript Injection,equivalent,
FT013,Resource Hijacking,,,unmapped,
FT014,Supply Chain Compromise,T1195,Supply Chain Compromise,equivalent,T1195
FT015,Policy and Procedure Abuse,,,unmapped,
